,index,ДАТА ВРЕМЯ,КОЛИЧЕСТВО ЗАКАЗОВ
0,8832.0,2018-05-01 08:00:00,4.0
1,8833.0,2018-05-01 08:10:00,7.0
2,8834.0,2018-05-01 08:20:00,6.0
3,8835.0,2018-05-01 08:30:00,13.0
4,8836.0,2018-05-01 08:40:00,8.0
5,8837.0,2018-05-01 08:50:00,11.0
6,8838.0,2018-05-01 09:00:00,10.0
7,8839.0,2018-05-01 09:10:00,9.0
8,8840.0,2018-05-01 09:20:00,19.0
9,8841.0,2018-05-01 09:30:00,15.0
10,8842.0,2018-05-01 09:40:00,11.0
11,8843.0,2018-05-01 09:50:00,2.0
12,8844.0,2018-05-01 10:00:00,5.0
13,8845.0,2018-05-01 10:10:00,9.0
14,8846.0,2018-05-01 10:20:00,9.0
15,8847.0,2018-05-01 10:30:00,10.0
16,8848.0,2018-05-01 10:40:00,10.0
17,8849.0,2018-05-01 10:50:00,10.0
18,8850.0,2018-05-01 11:00:00,6.0
19,8851.0,2018-05-01 11:10:00,9.0
20,8852.0,2018-05-01 11:20:00,5.0
21,8853.0,2018-05-01 11:30:00,6.0
22,8854.0,2018-05-01 11:40:00,11.0
23,8855.0,2018-05-01 11:50:00,6.0
24,8856.0,2018-05-01 12:00:00,12.0
25,8857.0,2018-05-01 12:10:00,8.0
26,8858.0,2018-05-01 12:20:00,6.0
27,8859.0,2018-05-01 12:30:00,3.0
28,8860.0,2018-05-01 12:40:00,4.0
29,8861.0,2018-05-01 12:50:00,7.0
30,8862.0,2018-05-01 13:00:00,4.0
31,8863.0,2018-05-01 13:10:00,6.0
32,8864.0,2018-05-01 13:20:00,5.0
33,8865.0,2018-05-01 13:30:00,8.0
34,8866.0,2018-05-01 13:40:00,5.0
35,8867.0,2018-05-01 13:50:00,6.0
36,8868.0,2018-05-01 14:00:00,10.0
37,8869.0,2018-05-01 14:10:00,12.0
38,8870.0,2018-05-01 14:20:00,12.0
39,8871.0,2018-05-01 14:30:00,7.0
40,8872.0,2018-05-01 14:40:00,12.0
41,8873.0,2018-05-01 14:50:00,8.0
42,8874.0,2018-05-01 15:00:00,13.0
43,8875.0,2018-05-01 15:10:00,11.0
44,8876.0,2018-05-01 15:20:00,13.0
45,8877.0,2018-05-01 15:30:00,19.0
46,8878.0,2018-05-01 15:40:00,17.0
47,8879.0,2018-05-01 15:50:00,9.0
48,8880.0,2018-05-01 16:00:00,6.0
49,8881.0,2018-05-01 16:10:00,10.0
50,8882.0,2018-05-01 16:20:00,13.0
51,8883.0,2018-05-01 16:30:00,12.0
52,8884.0,2018-05-01 16:40:00,16.0
53,8885.0,2018-05-01 16:50:00,17.0
54,8886.0,2018-05-01 17:00:00,12.0
55,8887.0,2018-05-01 17:10:00,9.0
56,8888.0,2018-05-01 17:20:00,8.0
57,8889.0,2018-05-01 17:30:00,5.0
58,8890.0,2018-05-01 17:40:00,5.0
59,8891.0,2018-05-01 17:50:00,4.0
60,8892.0,2018-05-01 18:00:00,8.0
61,8893.0,2018-05-01 18:10:00,5.0
62,8894.0,2018-05-01 18:20:00,5.0
63,8895.0,2018-05-01 18:30:00,10.0
64,8896.0,2018-05-01 18:40:00,6.0
65,8897.0,2018-05-01 18:50:00,10.0
66,8898.0,2018-05-01 19:00:00,6.0
67,8899.0,2018-05-01 19:10:00,17.0
68,8900.0,2018-05-01 19:20:00,9.0
69,8901.0,2018-05-01 19:30:00,14.0
70,8902.0,2018-05-01 19:40:00,16.0
71,8903.0,2018-05-01 19:50:00,15.0
72,8904.0,2018-05-01 20:00:00,6.0
73,8905.0,2018-05-01 20:10:00,2.0
74,8906.0,2018-05-01 20:20:00,0.0
75,8907.0,2018-05-01 20:30:00,6.0
76,8908.0,2018-05-01 20:40:00,11.0
77,8909.0,2018-05-01 20:50:00,13.0
78,8910.0,2018-05-01 21:00:00,
79,8911.0,2018-05-01 21:10:00,15.0
80,8912.0,2018-05-01 21:20:00,15.0
81,8913.0,2018-05-01 21:30:00,15.0
82,8914.0,2018-05-01 21:40:00,12.0
83,8915.0,2018-05-01 21:50:00,8.0
84,8916.0,2018-05-01 22:00:00,10.0
85,8917.0,2018-05-01 22:10:00,11.0
86,8918.0,2018-05-01 22:20:00,11.0
87,8919.0,2018-05-01 22:30:00,15.0
88,8920.0,2018-05-01 22:40:00,9.0
89,8921.0,2018-05-01 22:50:00,14.0
90,8922.0,2018-05-01 23:00:00,18.0
91,8923.0,2018-05-01 23:10:00,7.0
92,8924.0,2018-05-01 23:20:00,8.0
93,8925.0,2018-05-01 23:30:00,11.0
94,8926.0,2018-05-01 23:40:00,11.0
95,8927.0,2018-05-01 23:50:00,14.0
96,8928.0,2018-05-02 00:00:00,16.0
97,8929.0,2018-05-02 00:10:00,22.0
98,8930.0,2018-05-02 00:20:00,32.0
99,8931.0,2018-05-02 00:30:00,24.0
100,8932.0,2018-05-02 00:40:00,18.0
101,8933.0,2018-05-02 00:50:00,26.0
102,8934.0,2018-05-02 01:00:00,
103,8935.0,2018-05-02 01:10:00,4.0
104,8936.0,2018-05-02 01:20:00,4.0
105,8937.0,2018-05-02 01:30:00,2.0
106,8938.0,2018-05-02 01:40:00,11.0
107,8939.0,2018-05-02 01:50:00,14.0
108,8940.0,2018-05-02 02:00:00,19.0
109,8941.0,2018-05-02 02:10:00,8.0
110,8942.0,2018-05-02 02:20:00,12.0
111,8943.0,2018-05-02 02:30:00,12.0
112,8944.0,2018-05-02 02:40:00,5.0
113,8945.0,2018-05-02 02:50:00,6.0
114,8946.0,2018-05-02 03:00:00,6.0
115,8947.0,2018-05-02 03:10:00,7.0
116,8948.0,2018-05-02 03:20:00,9.0
117,8949.0,2018-05-02 03:30:00,14.0
118,8950.0,2018-05-02 03:40:00,11.0
119,8951.0,2018-05-02 03:50:00,12.0
120,8952.0,2018-05-02 04:00:00,9.0
121,8953.0,2018-05-02 04:10:00,6.0
122,8954.0,2018-05-02 04:20:00,6.0
123,8955.0,2018-05-02 04:30:00,4.0
124,8956.0,2018-05-02 04:40:00,2.0
125,8957.0,2018-05-02 04:50:00,3.0
126,8958.0,2018-05-02 05:00:00,5.0
127,8959.0,2018-05-02 05:10:00,1.0
128,8960.0,2018-05-02 05:20:00,3.0
129,8961.0,2018-05-02 05:30:00,
130,8962.0,2018-05-02 05:40:00,4.0
131,8963.0,2018-05-02 05:50:00,7.0
132,8964.0,2018-05-02 06:00:00,1.0
133,8965.0,2018-05-02 06:10:00,2.0
134,8966.0,2018-05-02 06:20:00,0.0
135,8967.0,2018-05-02 06:30:00,0.0
136,8968.0,2018-05-02 06:40:00,4.0
137,8969.0,2018-05-02 06:50:00,7.0
138,8970.0,2018-05-02 07:00:00,4.0
139,8971.0,2018-05-02 07:10:00,2.0
140,8972.0,2018-05-02 07:20:00,2.0
141,8973.0,2018-05-02 07:30:00,3.0
142,8974.0,2018-05-02 07:40:00,1.0
143,8975.0,2018-05-02 07:50:00,8.0
144,8976.0,2018-05-02 08:00:00,10.0
145,8977.0,2018-05-02 08:10:00,11.0
146,8978.0,2018-05-02 08:20:00,11.0
147,8979.0,2018-05-02 08:30:00,8.0
148,8980.0,2018-05-02 08:40:00,10.0
149,8981.0,2018-05-02 08:50:00,18.0
150,8982.0,2018-05-02 09:00:00,8.0
151,8983.0,2018-05-02 09:10:00,6.0
152,8984.0,2018-05-02 09:20:00,12.0
153,8985.0,2018-05-02 09:30:00,13.0
154,8986.0,2018-05-02 09:40:00,9.0
155,8987.0,2018-05-02 09:50:00,9.0
156,8988.0,2018-05-02 10:00:00,21.0
157,8989.0,2018-05-02 10:10:00,9.0
158,8990.0,2018-05-02 10:20:00,7.0
159,8991.0,2018-05-02 10:30:00,2.0
160,8992.0,2018-05-02 10:40:00,8.0
161,8993.0,2018-05-02 10:50:00,10.0
162,8994.0,2018-05-02 11:00:00,8.0
163,8995.0,2018-05-02 11:10:00,8.0
164,8996.0,2018-05-02 11:20:00,3.0
165,8997.0,2018-05-02 11:30:00,13.0
166,8998.0,2018-05-02 11:40:00,6.0
167,8999.0,2018-05-02 11:50:00,5.0
168,9000.0,2018-05-02 12:00:00,9.0
169,9001.0,2018-05-02 12:10:00,6.0
170,9002.0,2018-05-02 12:20:00,7.0
171,9003.0,2018-05-02 12:30:00,4.0
172,9004.0,2018-05-02 12:40:00,5.0
173,9005.0,2018-05-02 12:50:00,4.0
174,9006.0,2018-05-02 13:00:00,16.0
175,9007.0,2018-05-02 13:10:00,12.0
176,9008.0,2018-05-02 13:20:00,14.0
177,9009.0,2018-05-02 13:30:00,18.0
178,9010.0,2018-05-02 13:40:00,6.0
179,9011.0,2018-05-02 13:50:00,7.0
180,9012.0,2018-05-02 14:00:00,6.0
181,9013.0,2018-05-02 14:10:00,9.0
182,9014.0,2018-05-02 14:20:00,11.0
183,9015.0,2018-05-02 14:30:00,2.0
184,9016.0,2018-05-02 14:40:00,7.0
185,9017.0,2018-05-02 14:50:00,19.0
186,9018.0,2018-05-02 15:00:00,12.0
187,9019.0,2018-05-02 15:10:00,15.0
188,9020.0,2018-05-02 15:20:00,14.0
189,9021.0,2018-05-02 15:30:00,6.0
190,9022.0,2018-05-02 15:40:00,9.0
191,9023.0,2018-05-02 15:50:00,9.0
192,9024.0,2018-05-02 16:00:00,17.0
193,9025.0,2018-05-02 16:10:00,18.0
194,9026.0,2018-05-02 16:20:00,18.0
195,9027.0,2018-05-02 16:30:00,23.0
196,9028.0,2018-05-02 16:40:00,21.0
197,9029.0,2018-05-02 16:50:00,16.0
198,9030.0,2018-05-02 17:00:00,17.0
199,9031.0,2018-05-02 17:10:00,6.0
200,9032.0,2018-05-02 17:20:00,11.0
201,9033.0,2018-05-02 17:30:00,11.0
202,9034.0,2018-05-02 17:40:00,12.0
203,9035.0,2018-05-02 17:50:00,10.0
204,9036.0,2018-05-02 18:00:00,7.0
205,9037.0,2018-05-02 18:10:00,4.0
206,9038.0,2018-05-02 18:20:00,6.0
207,9039.0,2018-05-02 18:30:00,9.0
208,9040.0,2018-05-02 18:40:00,6.0
209,9041.0,2018-05-02 18:50:00,7.0
210,9042.0,2018-05-02 19:00:00,13.0
211,9043.0,2018-05-02 19:10:00,11.0
212,9044.0,2018-05-02 19:20:00,15.0
213,9045.0,2018-05-02 19:30:00,16.0
214,9046.0,2018-05-02 19:40:00,12.0
215,9047.0,2018-05-02 19:50:00,10.0
216,9048.0,2018-05-02 20:00:00,15.0
217,9049.0,2018-05-02 20:10:00,12.0
218,9050.0,2018-05-02 20:20:00,13.0
219,9051.0,2018-05-02 20:30:00,19.0
220,9052.0,2018-05-02 20:40:00,16.0
221,9053.0,2018-05-02 20:50:00,17.0
222,9054.0,2018-05-02 21:00:00,12.0
223,9055.0,2018-05-02 21:10:00,18.0
224,9056.0,2018-05-02 21:20:00,13.0
225,9057.0,2018-05-02 21:30:00,16.0
226,9058.0,2018-05-02 21:40:00,18.0
227,9059.0,2018-05-02 21:50:00,17.0
228,9060.0,2018-05-02 22:00:00,12.0
229,9061.0,2018-05-02 22:10:00,18.0
230,9062.0,2018-05-02 22:20:00,21.0
