,index,ДАТА ВРЕМЯ,КОЛИЧЕСТВО ЗАКАЗОВ
132,17796.0,2018-07-02 14:00:00,4.0
133,17797.0,2018-07-02 14:10:00,16.0
134,17798.0,2018-07-02 14:20:00,16.0
135,17799.0,2018-07-02 14:30:00,11.0
136,17800.0,2018-07-02 14:40:00,23.0
137,17801.0,2018-07-02 14:50:00,9.0
138,17802.0,2018-07-02 15:00:00,17.0
139,17803.0,2018-07-02 15:10:00,25.0
140,17804.0,2018-07-02 15:20:00,15.0
141,17805.0,2018-07-02 15:30:00,25.0
142,17806.0,2018-07-02 15:40:00,18.0
143,17807.0,2018-07-02 15:50:00,15.0
144,17808.0,2018-07-02 16:00:00,14.0
145,17809.0,2018-07-02 16:10:00,14.0
146,17810.0,2018-07-02 16:20:00,12.0
147,17811.0,2018-07-02 16:30:00,15.0
148,17812.0,2018-07-02 16:40:00,15.0
149,17813.0,2018-07-02 16:50:00,15.0
150,17814.0,2018-07-02 17:00:00,23.0
151,17815.0,2018-07-02 17:10:00,21.0
152,17816.0,2018-07-02 17:20:00,22.0
153,17817.0,2018-07-02 17:30:00,20.0
154,17818.0,2018-07-02 17:40:00,10.0
155,17819.0,2018-07-02 17:50:00,7.0
156,17820.0,2018-07-02 18:00:00,8.0
157,17821.0,2018-07-02 18:10:00,7.0
158,17822.0,2018-07-02 18:20:00,11.0
159,17823.0,2018-07-02 18:30:00,10.0
160,17824.0,2018-07-02 18:40:00,14.0
161,17825.0,2018-07-02 18:50:00,4.0
162,17826.0,2018-07-02 19:00:00,13.0
163,17827.0,2018-07-02 19:10:00,14.0
164,17828.0,2018-07-02 19:20:00,11.0
165,17829.0,2018-07-02 19:30:00,23.0
166,17830.0,2018-07-02 19:40:00,26.0
167,17831.0,2018-07-02 19:50:00,9.0
168,17832.0,2018-07-02 20:00:00,10.0
169,17833.0,2018-07-02 20:10:00,11.0
170,17834.0,2018-07-02 20:20:00,10.0
171,17835.0,2018-07-02 20:30:00,18.0
172,17836.0,2018-07-02 20:40:00,16.0
173,17837.0,2018-07-02 20:50:00,24.0
174,17838.0,2018-07-02 21:00:00,12.0
175,17839.0,2018-07-02 21:10:00,26.0
176,17840.0,2018-07-02 21:20:00,9.0
177,17841.0,2018-07-02 21:30:00,20.0
178,17842.0,2018-07-02 21:40:00,5.0
179,17843.0,2018-07-02 21:50:00,11.0
180,17844.0,2018-07-02 22:00:00,11.0
181,17845.0,2018-07-02 22:10:00,20.0
182,17846.0,2018-07-02 22:20:00,15.0
183,17847.0,2018-07-02 22:30:00,9.0
184,17848.0,2018-07-02 22:40:00,7.0
185,17849.0,2018-07-02 22:50:00,9.0
186,17850.0,2018-07-02 23:00:00,13.0
187,17851.0,2018-07-02 23:10:00,16.0
188,17852.0,2018-07-02 23:20:00,15.0
189,17853.0,2018-07-02 23:30:00,
190,17854.0,2018-07-02 23:40:00,21.0
191,17855.0,2018-07-02 23:50:00,32.0
192,17856.0,2018-07-03 00:00:00,38.0
193,17857.0,2018-07-03 00:10:00,29.0
194,17858.0,2018-07-03 00:20:00,20.0
195,17859.0,2018-07-03 00:30:00,15.0
196,17860.0,2018-07-03 00:40:00,23.0
197,17861.0,2018-07-03 00:50:00,24.0
198,17862.0,2018-07-03 01:00:00,22.0
199,17863.0,2018-07-03 01:10:00,25.0
200,17864.0,2018-07-03 01:20:00,16.0
201,17865.0,2018-07-03 01:30:00,18.0
202,17866.0,2018-07-03 01:40:00,19.0
203,17867.0,2018-07-03 01:50:00,21.0
204,17868.0,2018-07-03 02:00:00,28.0
205,17869.0,2018-07-03 02:10:00,29.0
206,17870.0,2018-07-03 02:20:00,17.0
207,17871.0,2018-07-03 02:30:00,10.0
208,17872.0,2018-07-03 02:40:00,13.0
209,17873.0,2018-07-03 02:50:00,6.0
210,17874.0,2018-07-03 03:00:00,16.0
211,17875.0,2018-07-03 03:10:00,16.0
212,17876.0,2018-07-03 03:20:00,19.0
213,17877.0,2018-07-03 03:30:00,16.0
214,17878.0,2018-07-03 03:40:00,26.0
215,17879.0,2018-07-03 03:50:00,11.0
216,17880.0,2018-07-03 04:00:00,21.0
217,17881.0,2018-07-03 04:10:00,12.0
218,17882.0,2018-07-03 04:20:00,1.0
219,17883.0,2018-07-03 04:30:00,4.0
220,17884.0,2018-07-03 04:40:00,16.0
221,17885.0,2018-07-03 04:50:00,9.0
222,17886.0,2018-07-03 05:00:00,14.0
223,17887.0,2018-07-03 05:10:00,11.0
224,17888.0,2018-07-03 05:20:00,8.0
225,17889.0,2018-07-03 05:30:00,4.0
226,17890.0,2018-07-03 05:40:00,1.0
227,17891.0,2018-07-03 05:50:00,2.0
228,17892.0,2018-07-03 06:00:00,0.0
229,17893.0,2018-07-03 06:10:00,2.0
230,17894.0,2018-07-03 06:20:00,5.0
231,17895.0,2018-07-03 06:30:00,4.0
232,17896.0,2018-07-03 06:40:00,13.0
233,17897.0,2018-07-03 06:50:00,10.0
